"RIPE 01","13.80","0.20","0.00"
"RIPE 02","20.77","1.23","0.00"
"RIPE 03","16.81","0.19","0.00"
"RIPE 04","24.56","0.44","2.00"
"RIPE 05","28.42","2.58","0.00"
"RIPE 06","30.51","0.49","0.00"
"RIPE 07","30.41","1.59","0.00"
"RIPE 08","29.61","1.39","0.00"
"RIPE 09","53.87","4.13","0.00"
"RIPE 10","60.68","5.32","1.00"
"RIPE 11","57.42","6.58","0.00"
"RIPE 12","50.46","5.54","0.00"
"RIPE 13","76.16","8.84","0.00"
"RIPE 14","85.87","9.13","0.00"
"RIPE 15","56.79","8.21","0.00"
"RIPE 16","59.53","7.47","0.00"
"RIPE 17","69.23","14.77","2.00"
"RIPE 18","66.97","9.03","1.00"
"RIPE 19","61.80","13.20","5.00"
"RIPE 20","86.06","14.94","0.00"
"RIPE 21","84.83","20.17","0.00"
"RIPE 22","81.91","16.09","2.00"
"RIPE 23","90.97","19.03","2.00"
"RIPE 24","102.45","18.55","2.00"
"RIPE 25","133.57","24.43","0.00"
"RIPE 26","110.11","16.89","0.00"
"RIPE 28","97.34","24.66","2.00"
"RIPE 29","171.74","44.26","4.00"
"RIPE 30","190.89","36.11","5.00"
"RIPE 31","222.31","44.69","3.00"
"RIPE 32","225.32","47.68","7.00"
"RIPE 33","196.88","34.12","5.00"
"RIPE 34","241.62","46.38","6.00"
"RIPE 35","283.25","53.75","4.00"
"RIPE 36","41.18","16.82","0.00"
"RIPE 37","283.25","53.75","4.00"
"RIPE 38","102.30","16.70","1.00"
"RIPE 39","250.42","72.58","8.00"
"RIPE 40","309.06","59.94","4.00"
"RIPE 41","313.11","66.89","4.00"
"RIPE 42","269.61","68.39","3.00"
"RIPE 43","227.62","58.38","4.00"
"RIPE 44","284.93","55.07","2.00"
"RIPE 45","264.22","56.78","2.00"
"RIPE 46","259.86","45.14","4.00"
"RIPE 47","268.08","55.92","6.00"
"RIPE 48","235.25","56.75","2.00"
"RIPE 49","270.14","46.86","5.00"
"RIPE 50","303.73","55.27","4.00"
"RIPE 51","315.91","58.09","6.00"
"RIPE 52","254.25","60.75","0.00"
"RIPE 53","275.92","40.08","1.00"
"RIPE 54","256.28","36.72","1.00"
"RIPE 55","366.75","58.25","2.00"
"RIPE 56","412.22","46.78","1.00"
"RIPE 57","296.19","52.81","4.00"
"RIPE 58","413.91","55.09","8.00"
"RIPE 59","307.41","36.59","5.00"
"RIPE 60","412.63","66.37","6.00"
"RIPE 61","408.59","60.41","7.00"
"RIPE 62","446.87","40.13","8.00"
"RIPE 63","426.27","62.73","8.00"
"RIPE 64","375.14","60.86","5.00"
"RIPE 65","406.61","49.39","8.00"
"RIPE 66","482.41","83.59","4.00"
"RIPE 67","389.87","72.13","7.00"
"RIPE 68","480.73","87.27","1.00"
"RIPE 69","505.65","100.35","3.00"
"RIPE 70","576.21","97.79","4.00"
"RIPE 71","427.60","90.40","7.00"
"RIPE 72","560.82","109.18","2.00"
"RIPE 73","511.13","111.87","5.00"
"RIPE 74","524.99","106.01","5.00"
"RIPE 75","385.91","92.09","7.00"
"RIPE 76","620.00","135.00","18.00"
